_id,Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
1,20201208,S92000003,AstraZeneca (Vaxzevria),,Dose 1,12,,12,,All vaccinations
2,20201208,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
3,20201208,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
4,20201208,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
5,20201208,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,1922,,1922,,All vaccinations
6,20201208,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
7,20201208,S92000003,Total,,Dose 1,1934,,1934,,All vaccinations
8,20201208,S92000003,Total,4439078,Dose 1,1933,0.0435450785050409,1933,0.0435450785050409,18 years and over
9,20201208,S92000003,Total,2875396,Dose 1,1345,0.0467761657872516,1345,0.0467761657872516,40 years and over
10,20201208,S92000003,Total,4549217,Dose 1,1934,0.0425128104462812,1934,0.0425128104462812,16 years and over
11,20201208,S92000003,Total,,Dose 2,0,,0,,All vaccinations
12,20201208,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
13,20201208,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
14,20201208,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
15,20201209,S92000003,AstraZeneca (Vaxzevria),,Dose 1,8,,20,,All vaccinations
16,20201209,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
17,20201209,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
18,20201209,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
19,20201209,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,3856,,5778,,All vaccinations
20,20201209,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
21,20201209,S92000003,Total,,Dose 1,3864,,5798,,All vaccinations
22,20201209,S92000003,Total,4439078,Dose 1,3864,0.0870451026091454,5797,0.130590181114186,18 years and over
23,20201209,S92000003,Total,2875396,Dose 1,2573,0.0894833268182887,3918,0.13625949260554,40 years and over
24,20201209,S92000003,Total,4549217,Dose 1,3864,0.0849376936734388,5798,0.12745050411972,16 years and over
25,20201209,S92000003,Total,,Dose 2,0,,0,,All vaccinations
26,20201209,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
27,20201209,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
28,20201209,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
29,20201210,S92000003,AstraZeneca (Vaxzevria),,Dose 1,10,,30,,All vaccinations
30,20201210,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
31,20201210,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
32,20201210,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
33,20201210,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,4951,,10729,,All vaccinations
34,20201210,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
35,20201210,S92000003,Total,,Dose 1,4961,,10759,,All vaccinations
36,20201210,S92000003,Total,4439078,Dose 1,4960,0.111734914322298,10757,0.242325095436485,18 years and over
37,20201210,S92000003,Total,2875396,Dose 1,3273,0.113827799718717,7191,0.250087292324257,40 years and over
38,20201210,S92000003,Total,4549217,Dose 1,4960,0.109029751713317,10758,0.236480255833037,16 years and over
39,20201210,S92000003,Total,,Dose 2,0,,0,,All vaccinations
40,20201210,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
41,20201210,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
42,20201210,S92000003,Total,4549217,Dose 2,0,0,0,0,16 years and over
43,20201211,S92000003,AstraZeneca (Vaxzevria),,Dose 1,6,,36,,All vaccinations
44,20201211,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
45,20201211,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
46,20201211,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
47,20201211,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,5281,,16010,,All vaccinations
48,20201211,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
49,20201211,S92000003,Total,,Dose 1,5287,,16046,,All vaccinations
50,20201211,S92000003,Total,4439078,Dose 1,5285,0.119056254474465,16042,0.36138134991095,18 years and over
