_id,Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,Population,PopulationQF,Dose,DoseQF,NumberVaccinated,NumberVaccinatedQF,PercentCoverage,PercentCoverageQF,CumulativeNumberVaccinated,CumulativeNumberVaccinatedQF,CumulativePercentCoverage,CumulativePercentCoverageQF
1,20201208,S92000003,Female,"",12 to 15,"",114486,"",Dose 1,"",0,"",0,"",0,"",0,""
2,20201208,S92000003,Female,"",12 to 15,"",114486,"",Dose 2,"",0,"",0,"",0,"",0,""
3,20201208,S92000003,Female,"",16 to 17,"",53579,"",Dose 1,"",0,"",0,"",0,"",0,""
4,20201208,S92000003,Female,"",16 to 17,"",53579,"",Dose 2,"",0,"",0,"",0,"",0,""
5,20201208,S92000003,Female,"",16 years and over,d,2354012,"",Dose 1,"",1522,"",0.0646555752477048,"",1522,"",0.0646555752477048,""
6,20201208,S92000003,Female,"",16 years and over,d,2354012,"",Dose 2,"",0,"",0,"",0,"",0,""
7,20201208,S92000003,Female,"",18 to 29,"",413185,"",Dose 1,"",168,"",0.0406597528951922,"",168,"",0.0406597528951922,""
8,20201208,S92000003,Female,"",18 to 29,"",413185,"",Dose 2,"",0,"",0,"",0,"",0,""
9,20201208,S92000003,Female,"",30 to 39,"",370019,"",Dose 1,"",295,"",0.0797256357105987,"",295,"",0.0797256357105987,""
10,20201208,S92000003,Female,"",30 to 39,"",370019,"",Dose 2,"",0,"",0,"",0,"",0,""
11,20201208,S92000003,Female,"",40 to 49,"",345328,"",Dose 1,"",392,"",0.113515266645045,"",392,"",0.113515266645045,""
12,20201208,S92000003,Female,"",40 to 49,"",345328,"",Dose 2,"",0,"",0,"",0,"",0,""
13,20201208,S92000003,Female,"",50 to 54,"",203758,"",Dose 1,"",231,"",0.113369781799978,"",231,"",0.113369781799978,""
14,20201208,S92000003,Female,"",50 to 54,"",203758,"",Dose 2,"",0,"",0,"",0,"",0,""
15,20201208,S92000003,Female,"",55 to 59,"",205996,"",Dose 1,"",272,"",0.132041398862114,"",272,"",0.132041398862114,""
16,20201208,S92000003,Female,"",55 to 59,"",205996,"",Dose 2,"",0,"",0,"",0,"",0,""
17,20201208,S92000003,Female,"",60 to 64,"",181868,"",Dose 1,"",131,"",0.0720302637077441,"",131,"",0.0720302637077441,""
18,20201208,S92000003,Female,"",60 to 64,"",181868,"",Dose 2,"",0,"",0,"",0,"",0,""
19,20201208,S92000003,Female,"",65 to 69,"",155904,"",Dose 1,"",28,"",0.0179597701149425,"",28,"",0.0179597701149425,""
20,20201208,S92000003,Female,"",65 to 69,"",155904,"",Dose 2,"",0,"",0,"",0,"",0,""
21,20201208,S92000003,Female,"",70 to 74,"",149920,"",Dose 1,"",5,"",0.00333511205976521,"",5,"",0.00333511205976521,""
22,20201208,S92000003,Female,"",70 to 74,"",149920,"",Dose 2,"",0,"",0,"",0,"",0,""
23,20201208,S92000003,Female,"",75 to 79,"",109004,"",Dose 1,"",0,"",0,"",0,"",0,""
24,20201208,S92000003,Female,"",75 to 79,"",109004,"",Dose 2,"",0,"",0,"",0,"",0,""
25,20201208,S92000003,Female,"",80 years and over,d,165451,"",Dose 1,"",0,"",0,"",0,"",0,""
